"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"2578",23.9,58.3,0,0,0,1,0,0,0,0,0,0.4375,0.05
"2909",8.09999999999999,42.1,0,1,0,0,0,0,0,0,0,0.65625,0.75
"3",6.7,50.1,1,0,0,1,0,0,0,1,0,0.635416666666666,0.75
"1946",6,75,0,0,0,1,0,0,1,0,0,0.645833333333333,0.0368421052631579
"901",14.1,56.1,1,0,1,0,0,0,0,0,0,0.114583333333333,0.384210526315789
"1555",32,27,0,0,1,0,0,1,0,0,0,0.145833333333333,0.715789473684211
"2507",16.2,43.8,1,0,0,1,0,0,0,0,0,0.0833333333333331,0.9
"1439",7.2,45.4,0,0,0,1,0,0,0,0,0,0.5,0.2
"455",16.7,47.6,1,0,1,0,0,0,0,1,0,0.0833333333333331,0.215789473684211
"996",4.40000000000001,34,0,0,0,1,0,0,0,0,0,0.427083333333333,0.5
"2731",13.7,31.7,0,0,0,1,0,0,0,1,0,0.6875,0.134210526315789
"1707",18.5,47,0,0,0,1,0,0,0,0,0,0.645833333333333,0.4
"3220",9.7,46,0,1,0,0,0,0,0,0,0,0.375,0.35
"421",8.40000000000001,44,0,1,0,0,0,0,0,1,0,0.833333333333334,0.6
"1776",21,38.3,0,0,0,1,0,0,0,0,0,0.270833333333333,0.0342105263157895
"4021",9.40000000000001,37.5,0,0,0,1,0,0,1,0,0,0.40625,0.365789473684211
"3645",2.5,47.1,1,1,0,0,0,0,0,1,0,0.0312499999999997,0.931578947368421
"3617",12.6,63.1,1,0,1,0,0,0,0,0,0,0.937500000000001,0.0657894736842105
"715",22.1,59.6,0,0,1,0,0,0,0,0,0,0.34375,0.2
"533",15.4,47.9,0,0,0,1,0,0,0,0,0,0.666666666666667,0.0342105263157895
"2663",13.7,45.8,0,0,0,1,0,0,0,0,0,0.802083333333333,0.134210526315789
"1401",11.5,50,1,0,0,1,1,0,0,0,0,0.15625,0.0157894736842105
"2677",8.90000000000001,71.7,0,0,1,0,0,0,0,0,0,0.59375,0.1
"1306",13.4,28,0,0,1,0,0,0,0,0,0,0.145833333333333,0.35
"765",26,50.5,0,0,0,1,0,0,0,0,0,0.739583333333333,0.95
"3186",19.5,64.4,0,0,0,1,0,0,0,0,0,0.645833333333333,0.681578947368421
"382",16.2,60,0,0,0,1,0,0,1,0,0,0.0624999999999994,0.805263157894737
"4159",27,59.3,0,0,0,1,0,0,0,0,0,0.0312499999999997,0.2
"2082",4,60.7,0,1,0,0,0,0,0,1,0,0.53125,0.484210526315789
"2441",7.40000000000001,50.9,0,1,0,0,0,0,0,0,0,0.25,0.0842105263157895
"1354",17.2,31,0,0,0,1,0,0,1,0,0,0.385416666666666,0.515789473684211
"1987",16.2,43.7,0,0,1,0,0,0,0,0,0,0.729166666666667,0.665789473684211
"3880",22.7,35.6,0,0,0,1,0,0,0,0,0,0.34375,0.3
"1963",6.8,38.4,0,1,0,0,0,0,0,1,0,0.354166666666667,0.365789473684211
"3618",10.7,45.5,1,1,0,0,0,0,0,0,0,0.84375,0.6
"3715",8.40000000000001,46.9,0,1,0,0,0,0,0,1,0,0.739583333333333,0.292105263157895
"2473",9.7,41.7,0,0,0,1,0,0,0,0,0,0.833333333333334,0.0657894736842105
"1668",8.7,53.4,0,0,1,0,0,0,0,0,0,0.427083333333333,0.05
"598",20.6,23.9,0,0,0,1,0,0,0,0,0,0.0520833333333334,0.05
"3796",5.3,52.8,0,1,0,0,0,0,0,0,0,0.65625,0.5
"1223",10.3,56.3,0,1,0,0,0,0,0,0,0,0.71875,0.621052631578947
"247",10.9,59.3,0,1,0,0,0,0,0,0,0,0.739583333333333,0.715789473684211
"3844",19,52.4,1,0,1,0,0,0,1,0,0,0.104166666666667,0.91578947368421
"2922",12.8,27.2,0,0,0,1,0,0,0,0,0,0.197916666666667,0.434210526315789
"577",7.8,55.2,0,1,0,0,0,0,1,0,0,0.479166666666666,0.35
"2226",12.6,61.7,1,0,0,1,0,0,0,0,0,0.0833333333333331,0.315789473684211
"3866",11.3,33.4,0,0,1,0,0,0,0,0,0,0.28125,0.0157894736842105
"2372",6.3,46.8,1,0,0,1,0,0,0,0,0,0.125,0.434210526315789
"1638",21,58.5,0,0,0,1,0,0,0,0,0,0.5,0.165789473684211
"2623",11.4,64.7,1,0,1,0,0,0,0,0,0,0.0416666666666665,0.0842105263157895
"1295",3.59999999999999,53.4,1,1,0,0,0,0,0,1,0,0.708333333333333,0.2
"1246",10.7,73,0,0,1,0,0,0,0,0,0,0.541666666666667,0.0842105263157895
"889",9.3,57.4,1,0,0,1,0,0,0,0,0,0.145833333333333,0.0657894736842105
"1495",5.09999999999999,48.2,0,1,0,0,0,0,0,1,0,0.46875,0.234210526315789
"3980",6,28.6,0,0,0,1,0,0,0,0,0,0.385416666666666,0.0342105263157895
"624",6.2,48.1,1,1,0,0,0,0,0,0,0,0.635416666666666,0.5
"368",6.5,49.9,1,0,0,1,0,0,0,0,0,0.395833333333333,0.0342105263157895
"574",23.1,82,0,0,0,1,0,0,1,0,0,0.65625,0.0157894736842105
"2787",5.59999999999999,47.2,1,0,0,1,0,0,0,0,0,0.708333333333333,0.8
"2501",26.1,49.3,0,0,0,1,0,0,0,0,0,0.5,0.91578947368421
"3599",11.2,68,0,0,0,1,0,0,0,0,1,0.270833333333333,0.3
"2717",10.8,36.7,0,0,0,1,0,0,0,0,0,0.427083333333333,0.0157894736842105
"2975",9.7,66.8,0,0,0,1,0,0,0,0,0,0.447916666666667,0.0157894736842105
"2103",13.7,44.3,1,0,0,1,0,0,0,0,0,0.78125,0.3
"2662",5.2,48.7,1,1,0,0,0,0,0,1,0,0.729166666666667,0.6
"3314",12,44,0,0,0,1,0,0,0,0,0,0.395833333333333,0.05
"3170",18.1,31.9,0,0,1,0,0,0,0,0,0,0.572916666666667,0.61578947368421
"3949",10.4,42.9,0,1,0,0,0,0,0,0,0,0.0937499999999999,0.831578947368421
"1771",11.5,50.1,1,0,0,1,1,0,0,0,0,0.0416666666666665,0.6
"1256",11.7,34.2,1,0,0,1,0,0,0,0,0,0.6875,0.0342105263157895
"1649",9.59999999999999,72.9,1,0,1,0,0,0,0,0,0,0.708333333333333,0.91578947368421
"43",29.5,47.6,0,0,1,0,0,0,0,0,1,0.40625,0.63421052631579
"740",6.40000000000001,65,0,0,1,0,0,0,0,0,0,0.4375,0.0342105263157895
"3392",10.7,55.5,1,0,1,0,0,0,0,1,0,0.5,0.0157894736842105
"930",2.59999999999999,49.9,1,0,1,0,0,0,0,1,0,0.333333333333333,0.05
"962",27,48,1,0,1,0,0,1,0,0,0,0.666666666666667,0.565789473684211
"309",11,57.5,1,0,0,1,0,0,0,0,0,0.0729166666666663,0.334210526315789
"988",7.3,47.9,1,0,1,0,0,0,0,0,0,0.208333333333333,0.35
"2943",6.3,34,0,1,0,0,0,0,0,0,0,0.34375,0.681578947368421
"3406",9.3,39.3,0,0,0,1,0,0,0,0,0,0.1875,0.0368421052631579
"1999",13,66.3,1,0,0,1,0,0,0,0,0,0.729166666666667,0.115789473684211
"1558",9,42.9,0,1,0,0,0,0,0,1,0,0.572916666666667,0.434210526315789
"990",20.8,30.7,0,0,1,0,0,0,0,0,0,0.8125,0.731578947368421
"446",25.5,36.9,0,0,0,1,0,0,0,0,0,0.604166666666667,0.434210526315789
"1566",13.6,47.2,1,0,0,1,0,0,0,0,0,0.927083333333334,0.2
"2295",6.7,50.9,0,0,1,0,0,0,0,0,0,0.5,0.584210526315789
"870",23.4,59.5,0,0,0,1,0,0,0,0,0,0.229166666666666,0.91578947368421
"1784",23.3,32.3,0,0,1,0,0,1,0,0,0,0.541666666666667,0.365789473684211
"874",6.5,46.6,0,0,0,1,0,0,0,1,0,0.302083333333333,0.134210526315789
"2014",14.7,76,0,0,0,1,0,0,0,0,0,0.114583333333333,0.2
"1419",8,51.1,0,1,0,0,0,0,0,1,0,0.770833333333334,0.1
"2604",11.3,60.6,0,0,1,0,0,0,0,0,0,0.6875,0.365789473684211
"1501",9.40000000000001,47.4,0,0,0,1,0,0,0,0,0,0.489583333333333,0.115789473684211
"1424",2.2,28,0,0,1,0,0,0,0,0,0,0.552083333333333,0.215789473684211
"2137",16.9,31.2,0,0,0,1,0,0,0,0,0,0.864583333333334,0.1
"2963",8.5,43.6,0,1,0,0,0,0,0,0,0,0.364583333333334,0.415789473684211
"885",7.09999999999999,31.3,1,0,0,1,0,0,0,0,0,0.760416666666667,0.0342105263157895
"1651",28.3,44.4,0,0,0,1,0,0,0,0,0,0.53125,0.0157894736842105
"1063",12.8,52.9,0,1,0,0,0,0,0,0,0,0.291666666666667,0.384210526315789
"2519",10.8,73.4,0,0,1,0,0,0,0,0,0,0.677083333333334,0.731578947368421
"735",10.3,69.5,0,0,1,0,0,0,0,0,0,0.6875,0.134210526315789
"3452",12.1,65.8,0,0,1,0,0,0,0,0,0,0.208333333333333,0.0657894736842105
"2983",20.9,67.1,0,0,0,1,0,0,0,0,0,0.46875,0.565789473684211
"2670",5,49.7,1,0,0,1,0,0,0,0,0,0.583333333333333,0.234210526315789
"2468",4.2,31.7,0,0,0,1,0,0,0,0,0,0.5,0.85
"1486",14.7,56.9,1,0,0,1,0,0,0,0,0,0.0208333333333329,0.05
"2115",4.59999999999999,40.1,0,1,0,0,0,0,0,0,0,0.364583333333334,0.5
"3490",11.1,53.8,0,1,0,0,0,0,0,0,0,0.6875,0.86578947368421
"2321",6.7,54.7,1,0,0,1,0,0,0,0,0,0.854166666666667,0.334210526315789
