"id","matchday","season_id"
839553,2,2016
788426,26,2015
839775,30,2016
839777,30,2016
839766,29,2016
839773,30,2016
900062,1,2017
839691,19,2016
788311,12,2015
788222,1,2015
839681,18,2016
839542,1,2016
839578,5,2016
839672,17,2016
788373,20,2015
788298,10,2015
788379,21,2015
788455,30,2015
839761,28,2016
788435,28,2015
839601,8,2016
788307,12,2015
788444,29,2015
788271,7,2015
839639,13,2016
839760,28,2016
788443,29,2015
788359,18,2015
788248,4,2015
839633,12,2016
839609,9,2016
839643,13,2016
788229,2,2015
839663,16,2016
839616,10,2016
839722,23,2016
788257,5,2015
839614,10,2016
788349,17,2015
839745,26,2016
788337,15,2015
839707,21,2016
788309,12,2015
839632,12,2016
788389,22,2015
839587,6,2016
839648,14,2016
839718,23,2016
839564,4,2016
788434,27,2015
788301,11,2015
839650,14,2016
839641,13,2016
839622,11,2016
839655,15,2016
900065,1,2017
788436,28,2015
788392,22,2015
839554,2,2016
839619,10,2016
788290,9,2015
788376,20,2015
839604,9,2016
839627,11,2016
788238,3,2015
839608,9,2016
788330,14,2015
839676,18,2016
788325,14,2015
839753,27,2016
788241,3,2015
839560,3,2016
839592,7,2016
839629,12,2016
788274,7,2015
788258,5,2015
839738,25,2016
788383,21,2015
788313,12,2015
839662,16,2016
839699,20,2016
788292,10,2015
839735,25,2016
788319,13,2015
839671,17,2016
788438,28,2015
788366,19,2015
839748,27,2016
788288,9,2015
839638,13,2016
839625,11,2016
788360,18,2015
788409,24,2015
839740,26,2016
788437,28,2015
839626,11,2016
788260,6,2015
788428,27,2015
788308,12,2015
839696,20,2016
788242,3,2015
839776,30,2016
839582,6,2016
839656,15,2016
839637,13,2016
788355,18,2015
788234,2,2015
788269,7,2015
839666,16,2016
788430,27,2015
839726,24,2016
839772,30,2016
839678,18,2016
839670,17,2016
788386,21,2015
788371,20,2015
839764,29,2016
788421,26,2015
839585,6,2016
839642,13,2016
839579,5,2016
788320,13,2015
839727,24,2016
788447,29,2015
839545,1,2016
788262,6,2015
788251,5,2015
839565,4,2016
788314,12,2015
839612,10,2016
788228,2,2015
839768,29,2016
788276,8,2015
839605,9,2016
839590,7,2016
788365,19,2015
788264,6,2015
788452,30,2015
788246,4,2015
788318,13,2015
788368,19,2015
839700,21,2016
900063,1,2017
788377,20,2015
788303,11,2015
788273,7,2015
788341,16,2015
788364,19,2015
839774,30,2016
788249,4,2015
839588,7,2016
788253,5,2015
839742,26,2016
788439,28,2015
839577,5,2016
788270,7,2015
788268,7,2015
839595,7,2016
788306,11,2015
839695,20,2016
839556,3,2016
788347,17,2015
788425,26,2015
839778,30,2016
788240,3,2015
788433,27,2015
839667,16,2016
839544,1,2016
788363,19,2015
839683,18,2016
839602,8,2016
839603,8,2016
788358,18,2015
839569,4,2016
839555,2,2016
788316,13,2015
788374,20,2015
788362,18,2015
839744,26,2016
788457,30,2015
788331,15,2015
839716,23,2016
788329,14,2015
839548,2,2016
839540,1,2016
839701,21,2016
839704,21,2016
788278,8,2015
839711,22,2016
839679,18,2016
788350,17,2015
788441,28,2015
839723,23,2016
839737,25,2016
788332,15,2015
788254,5,2015
839674,17,2016
839758,28,2016
839620,11,2016
788394,22,2015
788380,21,2015
788336,15,2015
839734,25,2016
839571,4,2016
788245,4,2015
788416,25,2015
839709,22,2016
788293,10,2015
839720,23,2016
788239,3,2015
839634,12,2016
839550,2,2016
788235,3,2015
788385,21,2015
788340,16,2015
839732,25,2016
839733,25,2016
900066,1,2017
788338,15,2015
839654,15,2016
788272,7,2015
839598,8,2016
839703,21,2016
839706,21,2016
839593,7,2016
839769,29,2016
788227,2,2015
788259,6,2015
839618,10,2016
788370,19,2015
839713,22,2016
839586,6,2016
839581,6,2016
788328,14,2015
839607,9,2016
839546,1,2016
839680,18,2016
788427,27,2015
839541,1,2016
839549,2,2016
839599,8,2016
788393,22,2015
839574,5,2016
788282,8,2015
839715,22,2016
788411,25,2015
839624,11,2016
839551,2,2016
839729,24,2016
788297,10,2015
839636,13,2016
788339,16,2015
839570,4,2016
839613,10,2016
839765,29,2016
788348,17,2015
788429,27,2015
839563,3,2016
788423,26,2015
839600,8,2016
839596,8,2016
839649,14,2016
788295,10,2015
788458,30,2015
788334,15,2015
839651,14,2016
839682,18,2016
839756,28,2016
788299,11,2015
839557,3,2016
788448,29,2015
839611,9,2016
788357,18,2015
839771,29,2016
839552,2,2016
839547,1,2016
839669,17,2016
788284,9,2015
788388,22,2015
839687,19,2016
788431,27,2015
900068,1,2017
788367,19,2015
788296,10,2015
788440,28,2015
839684,19,2016
788442,28,2015
839610,9,2016
