"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"218",5.8,50.7,1,0,0,1,0,0,0,0,0,0.479166666666666,0.384210526315789
"219",11.4,34.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.25
"220",7.59999999999999,62.6,0,0,0,1,0,0,0,0,0,0.666666666666667,0.15
"221",4.3,57.9,1,0,0,1,0,0,0,1,0,0.625,0.831578947368421
"222",2.40000000000001,46.1,1,0,0,1,0,0,0,0,0,0.322916666666666,0.565789473684211
"223",14.4,75.8,0,0,1,0,0,0,0,0,0,0.5,0.15
"224",15.1,62,0,0,0,1,0,0,0,0,0,0.697916666666667,0.0157894736842105
"225",6.7,49.1,1,0,0,1,0,0,0,0,0,0.635416666666666,0.484210526315789
"226",15.9,62.6,0,0,0,1,0,0,0,0,0,0.59375,0.931578947368421
"227",9.90000000000001,49.3,0,1,0,0,0,0,0,0,0,0.447916666666667,0.565789473684211
"228",15.4,38.5,0,0,1,0,0,0,0,0,0,0.729166666666667,0.0342105263157895
"229",11.1,68,0,0,1,0,0,0,0,0,0,0.885416666666667,0.15
"230",11.1,39.9,0,0,0,1,0,0,0,0,0,0.666666666666667,0.1
"231",9.59999999999999,47.1,0,1,0,0,0,0,0,0,0,0.15625,0.61578947368421
"232",12,43.3,0,0,0,1,0,0,0,0,0,0.427083333333333,0.55
"233",23.7,64.4,0,0,1,0,0,0,0,0,0,0.791666666666667,0.234210526315789
"234",15.3,82.5,0,0,0,1,0,0,0,0,0,0.552083333333333,0.234210526315789
"235",20,70.7,0,0,1,0,0,0,0,0,0,0.541666666666667,0.0842105263157895
"236",8.8,59.7,1,0,1,0,0,0,0,0,0,0.0729166666666663,0.5
"237",7.40000000000001,51.7,1,1,0,0,0,0,0,0,0,0.0937499999999999,0.5
"238",6.40000000000001,44.3,1,0,1,0,0,0,0,0,0,0.229166666666666,0.334210526315789
"239",24.7,29.5,0,0,1,0,0,0,0,0,0,0.75,0.6
"240",7.7,49.7,1,1,0,0,0,0,0,0,0,0.291666666666667,0.165789473684211
"241",10.8,30.9,0,1,0,0,0,0,0,0,0,0.0729166666666663,0.9
"242",8,47.2,1,1,0,0,0,0,1,0,0,0.25,0.134210526315789
"243",11.5,50,1,0,0,1,1,0,0,0,0,0.864583333333334,0.1
"244",24.2,39.7,1,0,0,1,0,0,0,0,0,0.90625,0.731578947368421
"245",21.5,17.9,0,0,1,0,0,1,0,0,0,0.65625,0.565789473684211
"246",10.3,79.4,0,0,0,1,0,0,1,0,0,0.770833333333334,0.184210526315789
"247",10.9,59.3,0,1,0,0,0,0,0,0,0,0.739583333333333,0.715789473684211
"248",20.1,66.1,1,0,0,1,0,0,0,0,1,0.208333333333333,0.61578947368421
"249",12.5,34.2,1,0,1,0,0,0,0,0,1,0.729166666666667,0.0842105263157895
"250",8.3,29.5,1,0,0,1,0,0,0,0,0,0.770833333333334,0.0157894736842105
"251",14.4,38.7,0,0,1,0,0,0,0,0,0,0.385416666666666,0.681578947368421
"252",12.2,45.4,0,1,0,0,0,0,1,0,0,0.84375,0.184210526315789
"253",6.8,35.1,0,0,0,1,0,0,0,0,0,0.59375,0.134210526315789
"254",28.9,68.9,0,0,0,1,0,1,0,0,0,0.708333333333333,0.86578947368421
"255",11.4,34,0,0,1,0,0,0,0,0,0,0.583333333333333,0.0657894736842105
"256",12.3,25.4,0,0,0,1,0,0,0,0,0,0.760416666666667,0.05
"257",12.3,50.3,0,0,0,1,0,0,0,0,0,0.614583333333334,0.384210526315789
"258",2.40000000000001,39.5,1,1,0,0,0,0,0,0,0,0.90625,0.35
"259",27.7,40.3,0,0,0,1,0,0,0,1,0,0.0937499999999999,0.434210526315789
"260",26.2,68.5,0,0,0,1,0,0,0,0,0,0.0520833333333334,0.115789473684211
"261",11.8,50.1,0,1,0,0,0,0,0,0,0,0.697916666666667,0.665789473684211
"262",11.1,63.2,0,1,0,0,0,0,0,0,0,0.364583333333334,0.8
"263",8.2,53,1,0,0,1,0,0,0,0,0,0.604166666666667,0.3
"264",16,66.5,0,0,0,1,0,0,0,0,0,0.71875,0.0157894736842105
"265",13.8,61.6,0,0,0,1,0,0,0,0,0,0.53125,0.731578947368421
"266",3.7,46,0,1,0,0,0,0,0,0,0,0.385416666666666,0.3
"267",4.3,65.6,0,1,0,0,0,0,0,0,0,0.71875,0.95
"268",10,53.8,0,1,0,0,0,0,0,0,0,0.385416666666666,0.334210526315789
"269",14.1,67.3,0,0,0,1,0,0,0,0,0,0.53125,0.2
"270",3.59999999999999,57.1,1,0,1,0,0,0,0,0,0,0.729166666666667,0.234210526315789
"271",9.7,38.4,0,0,1,0,0,0,0,0,0,0.197916666666667,0.25
"272",24.6,64,0,0,0,1,0,0,0,0,0,0.8125,0.165789473684211
"273",4.59999999999999,46.8,1,0,0,1,0,0,0,0,1,0.3125,0.284210526315789
"274",18.7,35.7,0,0,0,1,0,0,0,0,0,0.114583333333333,0.434210526315789
