"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"65",12.6,42.9,1,0,0,1,0,0,0,0,0,0.8125,0.184210526315789
"66",16.1,62.7,0,0,1,0,0,0,0,0,0,0.854166666666667,0.215789473684211
"67",5.40000000000001,54.2,0,1,0,0,0,0,0,1,0,0.875,0.415789473684211
"68",9.3,61.3,1,0,0,1,0,0,0,0,0,0.1875,0.1
"69",9.8,57.7,0,0,0,1,0,0,0,0,0,0.208333333333333,0.4
"70",1.7,58.9,0,0,0,1,0,0,0,0,0,0.572916666666667,0.434210526315789
"71",6.40000000000001,52.8,0,1,0,0,0,0,0,1,0,0.65625,0.35
"72",17.3,70.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.284210526315789
"73",4.5,52.1,1,0,1,0,0,0,0,0,0,0.770833333333334,0.434210526315789
"74",4.40000000000001,48,1,0,0,1,0,0,0,0,0,0.854166666666667,0.3
"75",10.7,59.8,0,0,0,1,0,0,0,0,0,0.614583333333334,0.0157894736842105
"76",23.8,51.8,1,0,0,1,0,0,0,1,0,0.104166666666667,0.15
"77",12,71.5,0,0,1,0,0,0,0,0,0,0.947916666666667,0.45
"78",11.5,50,1,0,0,1,1,0,0,0,0,0.677083333333334,0.0157894736842105
"79",18.8,47.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.35
"80",9.3,63.7,1,0,1,0,0,0,0,0,1,0.0312499999999997,0.115789473684211
"81",15.6,44.5,0,0,0,1,0,0,0,0,0,0.395833333333333,0.0342105263157895
"82",12.8,30.7,0,0,0,1,0,0,0,0,0,0.395833333333333,0.1
"83",27.1,70.7,0,0,1,0,0,0,0,0,0,0.739583333333333,0.584210526315789
"84",7.59999999999999,45.6,0,1,0,0,0,0,0,1,0,0.5,0.465789473684211
"85",20.2,53.4,0,0,0,1,0,0,0,0,0,0.34375,0.265789473684211
"86",9.90000000000001,51.3,0,1,0,0,0,0,0,1,0,0.875,0.8
"87",13.4,51.3,0,1,0,0,0,0,0,0,0,0.645833333333333,0.315789473684211
"88",5.40000000000001,46,1,1,0,0,0,0,0,0,0,0.864583333333334,0.2
"89",28.8,64.8,0,0,0,1,0,0,0,0,0,0.572916666666667,0.35
"90",12.7,49.6,1,0,0,1,0,0,0,0,0,0.78125,0.0842105263157895
"91",20.9,29.8,0,0,0,1,0,0,0,0,0,0.854166666666667,0.2
"92",31.2,72.8,0,0,0,1,0,0,0,0,0,0.541666666666667,0.284210526315789
"93",24.1,81.7,0,0,0,1,0,0,0,0,0,0.0729166666666663,0.165789473684211
"94",25,55.8,0,0,0,1,0,0,0,0,0,0.927083333333334,0.184210526315789
"95",27,35.6,0,0,0,1,0,0,0,0,0,0.520833333333334,0.86578947368421
"96",25.2,35,0,0,0,1,0,0,0,0,0,0.385416666666666,0.465789473684211
"97",24.6,62.1,0,0,0,1,0,0,0,0,0,0.8125,0.5
"98",6.5,54.7,0,1,0,0,0,0,0,1,0,0.0937499999999999,0.465789473684211
"99",8.8,55,0,1,0,0,0,0,0,1,0,0.208333333333333,0.515789473684211
"100",14.6,62.5,1,0,0,1,0,0,0,0,0,0.0416666666666665,0.05
"101",6.90000000000001,34.8,1,0,0,1,0,0,0,0,0,0.927083333333334,0.515789473684211
"102",11.5,28.6,1,0,0,1,0,0,0,0,0,0.489583333333333,0.9
"103",26.5,51.7,1,0,0,1,0,0,0,0,0,0.21875,0.05
"104",1.5,42.8,1,1,0,0,0,0,1,0,0,0.416666666666667,0.2
"105",9.8,38,0,0,1,0,0,0,0,0,0,0.479166666666666,0.515789473684211
"106",14.2,53.7,1,0,0,1,0,0,0,0,0,0.34375,0.05
"107",7.7,35,0,0,0,1,0,0,0,0,0,0.427083333333333,0.0736842105263158
